iter	Passed	Remaining
0	11412	673338
1	22955	665695
2	33264	632022
3	43232	605258
4	52798	580785
5	62113	559020
6	73384	555627
7	84133	546867
8	95854	543173
9	107673	538367
10	119632	532909
11	131716	526867
12	142377	514750
13	152629	501495
14	162552	487658
15	176167	484461
16	188961	477960
17	201517	470206
18	215522	465075
19	228615	457231
20	241448	448405
21	256200	442527
22	269607	433716
23	283137	424705
24	297507	416510
25	311260	407033
26	324558	396682
27	339155	387606
28	353105	377457
29	368507	368507
30	389144	364038
31	408933	357816
32	428682	350740
33	449587	343802
34	469988	335706
35	491226	327484
36	511115	317720
37	529443	306519
38	548466	295328
39	570598	285299
40	591087	273918
41	609744	261319
42	628294	248395
43	646959	235257
44	668149	222716
45	710347	216192
46	750942	207707
47	790082	197520
48	830521	186443
49	872143	174428
50	916839	161795
51	960547	147776
52	1003568	132546
53	1042837	115870
54	1082488	98408
55	1122543	80181
56	1164612	61295
57	1213509	41845
58	1258831	21336
59	1305020	0
