iter	Passed	Remaining
0	4	4679
1	9	4640
2	15	5155
3	21	5247
4	26	5357
5	33	5536
6	38	5472
7	44	5503
8	51	5688
9	57	5731
10	63	5718
11	69	5749
12	76	5828
13	83	5884
14	88	5838
15	94	5828
16	101	5886
17	108	5923
18	114	5901
19	120	5908
20	128	5993
21	134	5972
22	139	5945
23	146	5949
24	152	5946
25	158	5922
26	165	5957
27	172	5972
28	178	5963
29	185	5982
30	190	5970
31	196	5946
32	202	5931
33	208	5931
34	216	5973
35	222	5963
36	229	5968
37	235	5950
38	241	5942
39	247	5934
40	253	5923
41	259	5913
42	264	5896
43	270	5882
44	277	5892
45	283	5882
46	289	5869
47	295	5856
48	302	5874
49	309	5878
50	316	5896
51	323	5895
52	329	5888
53	337	5905
54	343	5893
55	349	5892
56	355	5881
57	361	5865
58	367	5856
59	373	5844
60	379	5839
61	384	5821
62	390	5810
63	396	5795
64	401	5782
65	407	5769
66	413	5754
67	419	5751
68	425	5745
69	432	5751
70	439	5748
71	445	5740
72	452	5743
73	458	5738
74	465	5738
75	471	5733
76	477	5725
77	484	5727
78	491	5731
79	497	5719
80	503	5711
81	510	5710
82	516	5706
83	522	5702
84	528	5690
85	534	5679
86	540	5670
87	546	5662
88	553	5661
89	558	5651
90	564	5637
91	570	5633
92	576	5626
93	583	5622
94	589	5618
95	596	5618
96	603	5619
97	610	5617
98	616	5612
99	623	5610
100	630	5610
101	637	5608
102	642	5596
103	649	5593
104	656	5595
105	663	5594
106	669	5586
107	675	5580
108	682	5578
109	688	5568
110	693	5557
111	699	5546
112	705	5539
113	711	5532
114	718	5526
115	724	5522
116	730	5512
117	736	5507
118	743	5505
119	749	5494
120	755	5487
121	761	5479
122	768	5479
123	774	5469
124	780	5466
125	787	5459
126	793	5451
127	798	5442
128	805	5441
129	811	5430
130	817	5424
131	824	5420
132	831	5417
133	835	5402
134	842	5396
135	848	5390
136	854	5383
137	860	5375
138	868	5378
139	874	5372
140	880	5365
141	887	5359
142	893	5351
143	898	5341
144	903	5329
145	909	5321
146	915	5313
147	922	5308
148	928	5301
149	934	5295
150	940	5289
151	946	5281
152	952	5273
153	959	5269
154	965	5262
155	971	5254
156	977	5249
157	984	5243
158	990	5237
159	996	5231
160	1003	5229
161	1009	5222
162	1015	5214
163	1022	5212
164	1028	5204
165	1034	5197
166	1041	5192
167	1047	5188
168	1054	5183
169	1060	5175
170	1066	5170
171	1072	5163
172	1078	5155
173	1084	5147
174	1090	5142
175	1096	5133
176	1103	5131
177	1111	5132
178	1118	5130
179	1124	5123
180	1130	5113
181	1135	5105
182	1141	5096
183	1147	5090
184	1155	5090
185	1162	5085
186	1167	5077
187	1170	5055
188	1176	5046
189	1182	5040
190	1187	5031
191	1194	5025
192	1201	5022
193	1207	5015
194	1213	5010
195	1220	5006
196	1227	5002
197	1233	4995
198	1239	4987
199	1245	4981
200	1251	4974
201	1257	4968
202	1263	4959
203	1268	4950
204	1274	4941
205	1280	4935
206	1286	4930
207	1293	4925
208	1299	4918
209	1305	4909
210	1310	4900
211	1316	4892
212	1321	4884
213	1327	4877
214	1334	4871
215	1339	4862
216	1346	4857
217	1353	4854
218	1360	4851
219	1366	4844
220	1372	4839
221	1379	4834
222	1385	4825
223	1391	4819
224	1396	4811
225	1403	4807
226	1410	4802
227	1416	4796
228	1422	4789
229	1429	4786
230	1436	4781
231	1442	4774
232	1449	4770
233	1454	4762
234	1461	4756
235	1467	4750
236	1474	4746
